company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster,early_return,mid_return,late_return,is_recovery
ServiceNow,NOW,-0.024906576626135823,0.0302944770198389,1717843.713114754,0.5206611570247934,0,-0.13660678718439967,0.05399022172190393,0.07320841380030263,True
Eaton Corporation,ETN,0.07540065068080493,0.02846733439699725,3229377.2377049183,0.5041322314049587,0,-0.16116399566212802,0.05425829095336998,0.18341841808658743,True
Autodesk,ADSK,0.05540024546570299,0.018345784879700455,1586357.1311475409,0.4793388429752066,0,-0.07258284467475806,0.025502000523501378,0.13192438480383184,True
D. R. Horton,DHI,-0.06335367625690203,0.021455131633022113,3597166.3278688523,0.5206611570247934,0,-0.08689334495786094,0.003335451080050733,0.02684189565909989,True
Archer Daniels Midland,ADM,0.050975706889685446,0.020099509983145657,4166853.6639344264,0.4628099173553719,0,-0.07248108323377145,0.042121344391095494,0.10928961748633892,True
Ulta Beauty,ULTA,0.09008295274489697,0.02758589445559176,960276.606557377,0.48760330578512395,0,-0.1871213533414111,0.1519580724996361,0.1905937444328505,True
Hubbell Incorporated,HUBB,-0.027572085049644035,0.02341591977264724,656492.8278688524,0.512396694214876,0,-0.15486083001976247,0.032377270530714375,0.1902832828165073,True
Jacobs Solutions,J,0.0035193794898806807,0.016670100693277495,869289.0081967213,0.4628099173553719,0,-0.056348242982235175,0.00880377563986201,0.07080597598527172,True
Pentair,PNR,0.022509960159362352,0.021399561695218644,1498731.7213114754,0.47107438016528924,0,-0.08625498007968135,0.011821121891379516,0.13136433766806266,True
Ball Corporation,BALL,0.03030859662013241,0.017966339144351296,2755462.7213114756,0.48760330578512395,0,-0.042248346803820724,0.017832647462276974,0.0950800468566968,True
Align Technology,ALGN,-0.09189889203319102,0.026166189568277747,1055033.950819672,0.49586776859504134,0,-0.16019952995347497,0.020131857781963802,0.07123458187167597,True
